 TIME                    	t                        	f-sim                    	f-exp                    	Tr-sim                   	Tr-exp                   	RHr-sim                  	RHr-exp                  	Ts-sim                   	Ts-exp                   	RHs-sim                  	RHs-exp                  	Toa                      	Pel-sim                  	Pel-exp                  	Qcs-sim                  	Qcs-exp                  	Qcl-sim                  	Qcl-exp                  	Qc-sim                   	Qc-exp                   	
  +1.8166666666666667E+00	  +6.5400000000000000E+03	  +1.7099999999999998E+01	  +3.0998000000000001E+01	  +2.3837870471760016E+01	  +2.3510000000000002E+01	  +6.3484999999999999E+01	  +6.3484999999999999E+01	  +1.9992316567012459E+01	  +1.6480000000000000E+01	  +5.4857395294577316E+01	  +5.8679000000000002E+01	  +3.2082000000000001E+01	  +1.5669218652202269E-01	  +3.5994555555555557E-01	  +8.3354670594101099E-01	  +1.0314677777777779E+00	  +6.6724743449689095E-01	  +1.7202288888888888E+00	  +1.5007941404379019E+00	  +2.7516969444444443E+00	
  +1.8333333333333333E+00	  +6.6000000000000000E+03	  +1.9000000000000000E+01	  +3.1273000000000000E+01	  +2.3818193482044659E+01	  +2.3559999999999999E+01	  +4.0639000000000003E+01	  +4.0639000000000003E+01	  +1.9572529126890331E+01	  +1.6178999999999998E+01	  +5.5328821824275529E+01	  +7.1075999999999993E+01	  +3.2204999999999998E+01	  +1.8808348106579514E-01	  +3.7264222222222221E-01	  +9.2003833326187667E-01	  +2.8282930555555552E+00	  +7.3691076334106576E-01	  +0.0000000000000000E+00	  +1.6569490966029423E+00	  +2.8282930555555552E+00	
  +1.8500000000000001E+00	  +6.6600000000000000E+03	  +1.9000000000000000E+01	  +3.1234000000000002E+01	  +2.3789099103403608E+01	  +2.3567000000000000E+01	  +7.1188000000000002E+01	  +7.1188000000000002E+01	  +1.9566690193019642E+01	  +1.6181999999999999E+01	  +5.5277885303150107E+01	  +6.5918999999999997E+01	  +3.2476999999999997E+01	  +1.8902603456957484E-01	  +3.7935000000000002E-01	  +9.1498189275907083E-01	  +9.8811861111111110E-01	  +7.3357515967305464E-01	  +1.8224574999999998E+00	  +1.6485570524321254E+00	  +2.8105761111111112E+00	
  +1.8666666666666667E+00	  +6.7200000000000000E+03	  +1.9000000000000000E+01	  +3.1288000000000000E+01	  +2.3776226117282892E+01	  +2.3574000000000002E+01	  +3.8295999999999999E+01	  +3.8295999999999999E+01	  +1.9568424118422563E+01	  +1.6212000000000000E+01	  +5.5251224607321646E+01	  +4.7526000000000003E+01	  +3.2668999999999997E+01	  +1.8970724103777431E-01	  +3.7924611111111112E-01	  +9.1181169335217371E-01	  +1.8462427777777779E+00	  +7.3127388345847621E-01	  +9.4066833333333333E-01	  +1.6430855768106498E+00	  +2.7869111111111109E+00	
  +1.8833333333333333E+00	  +6.7800000000000000E+03	  +1.9000000000000000E+01	  +3.1259000000000000E+01	  +2.3776570044009269E+01	  +2.3620999999999999E+01	  +6.8712000000000003E+01	  +6.8712000000000003E+01	  +1.9581720577357942E+01	  +1.6166000000000000E+01	  +5.5239328076282945E+01	  +6.1473999999999997E+01	  +3.2887000000000000E+01	  +1.9050755862250190E-01	  +3.8249194444444445E-01	  +9.0901295533682380E-01	  +9.8085861111111106E-01	  +7.2876287218726388E-01	  +1.8276733333333333E+00	  +1.6377758275240877E+00	  +2.8085319444444443E+00	
  +1.8999999999999999E+00	  +6.8400000000000000E+03	  +1.9000000000000000E+01	  +3.1218000000000000E+01	  +2.3787336502948115E+01	  +2.3620000000000001E+01	  +6.2177999999999997E+01	  +6.2177999999999997E+01	  +1.9597900048934765E+01	  +1.6204999999999998E+01	  +5.5245016401764715E+01	  +7.1087000000000003E+01	  +3.3021999999999998E+01	  +1.9102063174436446E-01	  +3.9112555555555550E-01	  +9.0785450700564363E-01	  +1.3517988888888888E+00	  +7.2728007125226379E-01	  +1.4566988888888890E+00	  +1.6351345782579074E+00	  +2.8084977777777778E+00	
  +1.9166666666666667E+00	  +6.9000000000000000E+03	  +2.0899999999999999E+01	  +3.1295000000000002E+01	  +2.3783496562698229E+01	  +2.3600999999999999E+01	  +6.1954999999999998E+01	  +6.1954999999999998E+01	  +1.9222594138200350E+01	  +1.6219000000000001E+01	  +5.5743361863888808E+01	  +6.0289000000000001E+01	  +3.3183999999999997E+01	  +2.2418462362230290E-01	  +3.9061472222222221E-01	  +9.9305098065456543E-01	  +1.1263361111111112E+00	  +7.9414879404372118E-01	  +1.6770819444444445E+00	  +1.7871997746982866E+00	  +2.8034180555555555E+00	
  +1.9333333333333333E+00	  +6.9600000000000000E+03	  +2.0899999999999999E+01	  +3.1218000000000000E+01	  +2.3765162473101032E+01	  +2.3638999999999999E+01	  +7.1209000000000003E+01	  +7.1209000000000003E+01	  +1.9199553106709189E+01	  +1.6196000000000002E+01	  +5.5682105848661379E+01	  +5.0960999999999999E+01	  +3.3265000000000001E+01	  +2.2452238680520079E-01	  +3.8432555555555553E-01	  +9.8943276791504942E-01	  +8.0908666666666662E-01	  +7.9283561615979659E-01	  +1.9720716666666667E+00	  +1.7822683840748459E+00	  +2.7811586111111111E+00	
  +1.9500000000000000E+00	  +7.0200000000000000E+03	  +2.0899999999999999E+01	  +3.1233000000000001E+01	  +2.3750477118147501E+01	  +2.3626000000000001E+01	  +3.9381000000000000E+01	  +3.9381000000000000E+01	  +1.9187013569663208E+01	  +1.6219999999999999E+01	  +5.5660037373333473E+01	  +7.1096999999999994E+01	  +3.3253000000000000E+01	  +2.2443226366605043E-01	  +3.9183611111111111E-01	  +9.8865032162703426E-01	  +2.8034333333333334E+00	  +7.9292523761842659E-01	  +0.0000000000000000E+00	  +1.7815755592454607E+00	  +2.8034333333333334E+00	
  +1.9666666666666666E+00	  +7.0800000000000000E+03	  +2.0899999999999999E+01	  +3.1271999999999998E+01	  +2.3744204168538616E+01	  +2.3678000000000001E+01	  +7.0909000000000006E+01	  +7.0909000000000006E+01	  +1.9199856441677543E+01	  +1.6244000000000000E+01	  +5.5635636333826568E+01	  +6.5998999999999995E+01	  +3.3500000000000000E+01	  +2.2566823128060567E-01	  +3.8949694444444449E-01	  +9.8451403946327698E-01	  +9.7806027777777771E-01	  +7.8950231867573395E-01	  +1.7911163888888890E+00	  +1.7740163581390109E+00	  +2.7691766666666666E+00	
