 TIME                    	time                     	freq-sim                 	freq-exp                 	Toa                      	Tr-sim                   	Tr-exp                   	Ts-sim                   	Ts-exp                   	Pel-sim                  	Pel-exp                  	Qh-sim                   	Qh-exp                   	Qhair                    	
  +8.8333333333333330E-01	  +8.8300000000000001E-01	  +1.1900000000000000E+02	  +1.0434800000000000E+02	  -8.1500000000000004E+00	  +2.0101315196005103E+01	  +1.9673999999999999E+01	  +3.7167317143944771E+01	  +3.9627000000000002E+01	  +2.9958876424355290E+00	  +1.6769813888888889E+00	  +3.6638808417323037E+00	  +1.5124361111111109E-01	  +3.4228286111111115E+00	
  +9.0000000000000002E-01	  +9.0000000000000002E-01	  +1.1900000000000000E+02	  +1.0489800000000000E+02	  -8.7629999999999999E+00	  +2.0279485236749501E+01	  +2.0033000000000001E+01	  +3.8468351975412055E+01	  +3.7024999999999999E+01	  +3.0057726824147548E+00	  +1.6203705555555554E+00	  +3.9072085488037409E+00	  +1.4296472222222223E-01	  +2.9255177777777774E+00	
  +9.1666666666666663E-01	  +9.1700000000000004E-01	  +1.1900000000000000E+02	  +1.1242800000000000E+02	  -9.1029999999999998E+00	  +2.0484920323278597E+01	  +2.0712000000000000E+01	  +3.9728021192840309E+01	  +3.6500000000000000E+01	  +3.0135906012326474E+00	  +1.7861019444444444E+00	  +4.1304577414146806E+00	  +1.5120944444444445E-01	  +3.2846544444444441E+00	
  +9.3333333333333335E-01	  +9.3300000000000005E-01	  +1.1900000000000000E+02	  +1.2009699999999999E+02	  -9.3599999999999994E+00	  +2.0713079342195570E+01	  +2.1161999999999999E+01	  +4.0881660132134854E+01	  +3.7542999999999999E+01	  +3.0209594920727123E+00	  +2.0325369444444443E+00	  +4.3252673567602358E+00	  +1.5734055555555557E-01	  +3.3998919444444446E+00	
  +9.4999999999999996E-01	  +9.4999999999999996E-01	  +1.1900000000000000E+02	  +1.1851500000000000E+02	  -9.5899999999999999E+00	  +2.0958852037773774E+01	  +2.1472999999999999E+01	  +4.1914258445730020E+01	  +3.8494999999999997E+01	  +3.0283819645146473E+00	  +2.0080966666666669E+00	  +4.4897857401277612E+00	  +1.6613888888888889E-01	  +3.5257022222222223E+00	
  +9.6666666666666667E-01	  +9.6699999999999997E-01	  +1.1900000000000000E+02	  +1.1854000000000001E+02	  -9.7319999999999993E+00	  +2.1217619574404530E+01	  +2.1669000000000000E+01	  +4.2848879995172098E+01	  +3.8808000000000000E+01	  +3.0371224510978312E+00	  +1.9592358333333333E+00	  +4.6301857487950082E+00	  +1.5651083333333332E-01	  +3.5469200000000001E+00	
  +9.8333333333333328E-01	  +9.8299999999999998E-01	  +1.1900000000000000E+02	  +1.1997600000000000E+02	  -9.8430000000000000E+00	  +2.1485033240098488E+01	  +2.1855000000000000E+01	  +4.8308493783154731E+01	  +3.9189999999999998E+01	  +3.0494477649297584E+00	  +2.0286038888888891E+00	  +4.7408114983658391E+00	  +1.6545777777777779E-01	  +3.5840866666666664E+00	
  +1.0000000000000000E+00	  +1.0000000000000000E+00	  +1.1900000000000000E+02	  +1.2006699999999999E+02	  -1.0007999999999999E+01	  +2.1756465197308138E+01	  +2.2135999999999999E+01	  +4.9046363008209006E+01	  +3.9415999999999997E+01	  +3.0616144573739681E+00	  +2.0022516666666665E+00	  +4.8207056687377232E+00	  +1.5729638888888892E-01	  +3.5697966666666665E+00	
  +1.0166666666666666E+00	  +1.0169999999999999E+00	  +1.1900000000000000E+02	  +1.2007100000000000E+02	  -1.0037000000000001E+01	  +2.2028355236085254E+01	  +2.2105000000000000E+01	  +4.9728526059964757E+01	  +3.9554000000000002E+01	  +3.0726841908202052E+00	  +2.0196236111111112E+00	  +4.8886624442405830E+00	  +1.7133055555555554E-01	  +3.6042166666666668E+00	
  +1.0333333333333334E+00	  +1.0329999999999999E+00	  +1.1900000000000000E+02	  +1.2109500000000000E+02	  -1.0186000000000000E+01	  +2.2297607715344164E+01	  +2.2266999999999999E+01	  +6.0305219828437203E+01	  +3.9758000000000003E+01	  +3.0852775168429973E+00	  +1.9954516666666666E+00	  +4.9255051628612234E+00	  +1.7075138888888891E-01	  +3.6104930555555557E+00	
