 TIME                    	time                     	freq                     	Toa                      	Tr                       	RHr                      	Ts-exp                   	Ts-sim                   	RHs-exp                  	RHs-sim                  	Pel-exp                  	Pel-sim                  	Qc-exp                   	Qc-sim                   	Qcs-exp                  	Qcs-sim                  	Qcl-exp                  	Qcl-sim                  	
  +3.6666666666666664E-01	  +1.3200000000000000E+03	  +5.2499000000000002E+01	  +4.0710999999999999E+01	  +2.5318999999999999E+01	  +4.9417000000000002E+01	  +1.3337000000000000E+01	  +1.1335021445085806E+01	  +4.9276000000000003E+01	  +7.0616411621941950E+01	  +8.3860972222222219E-01	  +8.6358219389383473E-01	  +3.7693997222222224E+00	  +3.6118724028820433E+00	  +1.7841297222222223E+00	  +2.0862311108063305E+00	  +1.9852699999999999E+00	  +1.5256412920757132E+00	
  +3.8333333333333336E-01	  +1.3800000000000000E+03	  +5.2881999999999998E+01	  +4.0598999999999997E+01	  +2.5364000000000001E+01	  +5.2222000000000001E+01	  +1.3526999999999999E+01	  +1.4241505899783727E+01	  +7.1061999999999998E+01	  +6.7636871870799425E+01	  +8.4406694444444441E-01	  +8.7233530866686693E-01	  +3.7727841666666664E+00	  +3.6468501047108344E+00	  +2.1082947222222224E+00	  +1.9803356911439096E+00	  +1.6644894444444445E+00	  +1.6665144135669250E+00	
  +4.0000000000000002E-01	  +1.4400000000000000E+03	  +5.3276000000000003E+01	  +4.0850000000000001E+01	  +2.5428999999999998E+01	  +5.6905999999999999E+01	  +1.3439000000000000E+01	  +1.3208318444241318E+01	  +6.3832999999999998E+01	  +6.8116585659988843E+01	  +8.5678694444444448E-01	  +8.8187991923809528E-01	  +3.7556397222222220E+00	  +3.6662260057820499E+00	  +1.7492758333333334E+00	  +1.7834207303577634E+00	  +2.0063638888888891E+00	  +1.8828052754242861E+00	
  +4.1666666666666669E-01	  +1.5000000000000000E+03	  +5.3942000000000000E+01	  +4.0627000000000002E+01	  +2.5500000000000000E+01	  +6.4495999999999995E+01	  +1.3545000000000000E+01	  +1.1567971470516985E+01	  +3.9064000000000000E+01	  +5.4678391296872221E+01	  +8.4063083333333344E-01	  +8.9698493425563930E-01	  +3.7544922222222223E+00	  +3.7255108653121303E+00	  +1.2525441666666666E+00	  +1.4616508657551761E+00	  +2.5019483333333330E+00	  +2.2638599995569542E+00	
  +4.3333333333333335E-01	  +1.5600000000000000E+03	  +5.1938000000000002E+01	  +4.0609000000000002E+01	  +2.5442000000000000E+01	  +6.6040000000000006E+01	  +1.3478999999999999E+01	  +1.5202181544891546E+01	  +7.1064999999999998E+01	  +6.1391689778760430E+01	  +8.3891861111111110E-01	  +8.5145189262797016E-01	  +3.7527047222222221E+00	  +3.5941796379811941E+00	  +1.5649363888888888E+00	  +1.3384882929305046E+00	  +2.1877683333333335E+00	  +2.2556913450506895E+00	
  +4.5000000000000001E-01	  +1.6200000000000000E+03	  +5.3329000000000001E+01	  +4.0716000000000001E+01	  +2.5446999999999999E+01	  +6.5972999999999999E+01	  +1.3372000000000000E+01	  +1.3990300949817639E+01	  +6.4079999999999998E+01	  +5.8599018275815837E+01	  +8.5577333333333339E-01	  +8.8300447076771937E-01	  +3.6752866666666666E+00	  +3.6793728286030984E+00	  +1.4500205555555554E+00	  +1.3745606188410213E+00	  +2.2252661111111109E+00	  +2.3048122097620771E+00	
  +4.6666666666666667E-01	  +1.6800000000000000E+03	  +5.2284999999999997E+01	  +4.0680000000000000E+01	  +2.5385000000000002E+01	  +5.7270000000000003E+01	  +1.3535000000000000E+01	  +1.0813121571476966E+01	  +3.9729999999999997E+01	  +6.6642583856249814E+01	  +8.3801194444444438E-01	  +8.5906192912280699E-01	  +3.7515419444444444E+00	  +3.6085954582304227E+00	  +1.4085377777777777E+00	  +1.7365927949296411E+00	  +2.3430041666666668E+00	  +1.8720026633007816E+00	
  +4.8333333333333334E-01	  +1.7400000000000000E+03	  +5.4058000000000000E+01	  +4.0777000000000001E+01	  +2.5434000000000001E+01	  +4.3668999999999997E+01	  +1.3545999999999999E+01	  +1.4524709426596051E+01	  +7.1054000000000002E+01	  +6.3755292562363373E+01	  +8.4648694444444450E-01	  +8.9945699727759387E-01	  +3.7710177777777778E+00	  +3.7145116842398229E+00	  +2.6517227777777777E+00	  +2.4312692949018699E+00	  +1.1192952777777778E+00	  +1.2832423893379530E+00	
  +5.0000000000000000E-01	  +1.8000000000000000E+03	  +5.4191000000000003E+01	  +4.0487000000000002E+01	  +2.5414999999999999E+01	  +6.4028000000000006E+01	  +1.3478999999999999E+01	  +1.3549736272473366E+01	  +6.1975999999999999E+01	  +6.0822811705399928E+01	  +8.3396944444444443E-01	  +9.0205462653182966E-01	  +3.7373386111111109E+00	  +3.7449766492347165E+00	  +1.4973250000000000E+00	  +1.4877494109702929E+00	  +2.2400136111111113E+00	  +2.2572272382644236E+00	
  +5.1666666666666672E-01	  +1.8600000000000000E+03	  +5.2753000000000000E+01	  +4.0698000000000000E+01	  +2.5498000000000001E+01	  +6.3100000000000001E+01	  +1.3468000000000000E+01	  +1.1980759057643031E+01	  +4.3886000000000003E+01	  +5.9195675861731821E+01	  +8.3901666666666663E-01	  +8.7025793776561422E-01	  +3.7492855555555553E+00	  +3.6442625646961075E+00	  +1.3253863888888888E+00	  +1.4915244836352617E+00	  +2.4238991666666667E+00	  +2.1527380810608459E+00	
  +5.3333333333333333E-01	  +1.9200000000000000E+03	  +5.2378999999999998E+01	  +4.0752000000000002E+01	  +2.5474000000000000E+01	  +5.6042000000000002E+01	  +1.3516999999999999E+01	  +1.4093450787482158E+01	  +7.1102999999999994E+01	  +6.8409598897090930E+01	  +8.4477166666666659E-01	  +8.6176719705182969E-01	  +3.7098652777777774E+00	  +3.6134688171096232E+00	  +1.8900824999999999E+00	  +1.7983432991199682E+00	  +1.8197830555555556E+00	  +1.8151255179896550E+00	
  +5.5000000000000004E-01	  +1.9800000000000000E+03	  +5.3258000000000003E+01	  +4.0738000000000000E+01	  +2.5553000000000001E+01	  +3.5222999999999999E+01	  +1.3571000000000000E+01	  +1.4952655538972069E+01	  +6.3814000000000000E+01	  +5.4546127806963518E+01	  +8.4214972222222229E-01	  +8.8195687988090232E-01	  +3.7692547222222221E+00	  +3.6676702864952726E+00	  +3.1080277777777776E+00	  +2.7469375062748922E+00	  +6.6122694444444441E-01	  +9.2073278022038052E-01	
  +5.6666666666666665E-01	  +2.0400000000000000E+03	  +5.2771000000000001E+01	  +4.0539999999999999E+01	  +2.5649999999999999E+01	  +4.8067000000000000E+01	  +1.3531000000000001E+01	  +9.6831591362597020E+00	  +3.9204999999999998E+01	  +7.5446528312091374E+01	  +8.4628777777777775E-01	  +8.7130059578947361E-01	  +3.7671808333333336E+00	  +3.6507597499027926E+00	  +1.6555716666666667E+00	  +2.1882694578244695E+00	  +2.1116091666666668E+00	  +1.4624902920783229E+00	
  +5.8333333333333337E-01	  +2.1000000000000000E+03	  +5.4756999999999998E+01	  +4.1177999999999997E+01	  +2.5657000000000000E+01	  +6.2639000000000003E+01	  +1.3577999999999999E+01	  +1.4295729347456758E+01	  +7.1069000000000003E+01	  +6.5149441929711500E+01	  +8.4669166666666673E-01	  +9.1648528368140336E-01	  +3.7713936111111113E+00	  +3.7568741053750312E+00	  +1.6666094444444444E+00	  +1.5662514003549015E+00	  +2.1047844444444443E+00	  +2.1906227050201297E+00	
