 TIME                    	time                     	freq                     	Toa                      	Tr                       	Ts-exp                   	Ts-sim                   	Pel-exp                  	Pel-sim                  	Qh-exp                   	Qh-sim                   	Qhair-exp                	
  +5.1666666666666672E-01	  +5.1700000000000002E-01	  +5.8866000000000000E+01	  +9.7449999999999992E+00	  +2.3193000000000001E+01	  +4.2110999999999997E+01	  +4.3961730904385888E+01	  +8.7325916666666670E-01	  +9.5630920354411764E-01	  +4.3407594444444442E+00	  +4.5089517626050419E+00	  +3.8845944444444447E+00	
  +5.3333333333333333E-01	  +5.3300000000000003E-01	  +6.0037999999999997E+01	  +9.4990000000000006E+00	  +2.3109000000000002E+01	  +4.2011000000000003E+01	  +4.3920573857000484E+01	  +8.9959999999999996E-01	  +9.8907273313615929E-01	  +4.3611975000000003E+00	  +4.5178793391003458E+00	  +3.8823383333333332E+00	
  +5.5000000000000004E-01	  +5.5000000000000004E-01	  +5.8866000000000000E+01	  +9.6389999999999993E+00	  +2.3216000000000001E+01	  +4.2149000000000001E+01	  +4.3844872519322436E+01	  +8.8032527777777769E-01	  +9.5785875417271360E-01	  +4.3575350000000004E+00	  +4.4786898361697611E+00	  +3.8873086111111110E+00	
  +5.6666666666666665E-01	  +5.6699999999999995E-01	  +5.8878999999999998E+01	  +9.7609999999999992E+00	  +2.3120999999999999E+01	  +4.2109999999999999E+01	  +4.3944810511869591E+01	  +8.6236138888888891E-01	  +9.5559853254252347E-01	  +4.3635530555555553E+00	  +4.5205890524768719E+00	  +3.8997800000000002E+00	
  +5.8333333333333337E-01	  +5.8299999999999996E-01	  +5.8802999999999997E+01	  +9.7390000000000008E+00	  +2.2960000000000001E+01	  +4.1968000000000004E+01	  +4.3806759158869227E+01	  +8.7245638888888888E-01	  +9.5211059742436988E-01	  +4.3488783333333334E+00	  +4.5248576566626655E+00	  +3.9054550000000003E+00	
  +5.9999999999999998E-01	  +5.9999999999999998E-01	  +5.8451999999999998E+01	  +9.6600000000000001E+00	  +2.3233000000000001E+01	  +4.2046999999999997E+01	  +4.3765073313376369E+01	  +8.7306000000000006E-01	  +9.4767551872268918E-01	  +4.3461074999999996E+00	  +4.4577488943577430E+00	  +3.8633505555555554E+00	
  +6.1666666666666670E-01	  +6.1699999999999999E-01	  +5.9744999999999997E+01	  +9.7840000000000007E+00	  +2.3177000000000000E+01	  +4.2030000000000001E+01	  +4.4238940647962750E+01	  +8.7416861111111110E-01	  +9.7805163693598629E-01	  +4.3336705555555559E+00	  +4.5725362679189310E+00	  +3.8718302777777778E+00	
  +6.3333333333333330E-01	  +6.3300000000000001E-01	  +6.0814999999999998E+01	  +9.7799999999999994E+00	  +2.3396000000000001E+01	  +4.2048000000000002E+01	  +4.4620439641183673E+01	  +8.7235527777777777E-01	  +1.0112402354325261E+00	  +4.3229300000000004E+00	  +4.6088158428077106E+00	  +3.8291027777777780E+00	
  +6.5000000000000002E-01	  +6.5000000000000002E-01	  +5.8996000000000002E+01	  +9.6400000000000006E+00	  +2.3364000000000001E+01	  +4.2140000000000001E+01	  +4.3964524788296728E+01	  +8.9405000000000001E-01	  +9.6285678632525962E-01	  +4.3402583333333338E+00	  +4.4731921186356898E+00	  +3.8541452777777780E+00	
  +6.6666666666666663E-01	  +6.6700000000000004E-01	  +5.8262999999999998E+01	  +9.4979999999999993E+00	  +2.3387000000000000E+01	  +4.2164000000000001E+01	  +4.3602599744583294E+01	  +8.9556305555555560E-01	  +9.4691087055785972E-01	  +4.3304686111111108E+00	  +4.3897102335198772E+00	  +3.8540758333333334E+00	
  +6.8333333333333335E-01	  +6.8300000000000005E-01	  +5.8052000000000000E+01	  +9.7840000000000007E+00	  +2.3341000000000001E+01	  +4.2216999999999999E+01	  +4.3865212320026949E+01	  +8.8759305555555557E-01	  +9.3771133608245216E-01	  +4.3334952777777778E+00	  +4.4565196126685960E+00	  +3.8744655555555552E+00	
  +6.9999999999999996E-01	  +6.9999999999999996E-01	  +5.9982999999999997E+01	  +9.5570000000000004E+00	  +2.3181000000000001E+01	  +4.2079000000000001E+01	  +4.4018791710360006E+01	  +8.8709388888888885E-01	  +9.8774607378832191E-01	  +4.3408644444444446E+00	  +4.5238914985170542E+00	  +3.8806775000000000E+00	
  +7.1666666666666667E-01	  +7.1699999999999997E-01	  +6.0787999999999997E+01	  +9.4009999999999998E+00	  +2.3187999999999999E+01	  +4.2005000000000003E+01	  +4.4024617106121411E+01	  +8.7619000000000002E-01	  +1.0128077157674740E+00	  +4.3381361111111110E+00	  +4.5236677320810674E+00	  +3.8644472222222221E+00	
  +7.3333333333333328E-01	  +7.3299999999999998E-01	  +5.8472999999999999E+01	  +9.7539999999999996E+00	  +2.3251999999999999E+01	  +4.2055999999999997E+01	  +4.3896017148689282E+01	  +8.7144555555555558E-01	  +9.4730562787760786E-01	  +4.3339238888888891E+00	  +4.4821374644446008E+00	  +3.8609547222222220E+00	
  +7.5000000000000000E-01	  +7.5000000000000000E-01	  +5.8475000000000001E+01	  +9.7409999999999997E+00	  +2.3195000000000000E+01	  +4.2109000000000002E+01	  +4.3848763533635008E+01	  +8.8416277777777774E-01	  +9.4684295420631470E-01	  +4.3457291666666666E+00	  +4.4840008648312253E+00	  +3.8837522222222223E+00	
