nu	phic1	phic1s	phic1s	phic2
0.768	0.705	0.369	0.336	0.653
0.742	0.698	0.369	0.328	0.640
0.731	0.779	0.383	0.396	0.677
0.759	0.778	0.385	0.393	0.680
0.733	0.765	0.381	0.384	0.676
0.794	0.776	0.383	0.392	0.687
0.785	0.768	0.383	0.385	0.680
0.734	0.767	0.386	0.381	0.695
0.829	0.763	0.381	0.382	0.676
0.759	0.759	0.383	0.375	0.693
0.794	0.765	0.381	0.384	0.685
0.776	0.763	0.389	0.374	0.683
0.751	0.759	0.380	0.379	0.690
0.786	0.763	0.388	0.375	0.683
0.767	0.757	0.384	0.373	0.707
0.743	0.759	0.383	0.375	0.690
0.768	0.719	0.361	0.358	0.641
0.750	0.758	0.379	0.379	0.691
0.776	0.761	0.385	0.376	0.704
0.768	0.715	0.361	0.354	0.641
0.759	0.754	0.384	0.370	0.690
0.733	0.709	0.360	0.349	0.642
0.749	0.752	0.390	0.362	0.694
0.740	0.750	0.385	0.365	0.699
0.785	0.713	0.368	0.345	0.631
0.777	0.707	0.370	0.337	0.635
0.759	0.750	0.387	0.363	0.688
0.777	0.710	0.372	0.338	0.655
0.732	0.745	0.387	0.358	0.700
0.803	0.703	0.367	0.336	0.637
0.768	0.704	0.369	0.335	0.648
0.803	0.700	0.363	0.337	0.637
0.763	0.700	0.364	0.336	0.637
0.759	0.706	0.368	0.338	0.639
0.741	0.699	0.366	0.333	0.630
0.759	0.697	0.364	0.333	0.642
0.765	0.828	0.397	0.431	0.714
0.812	0.793	0.382	0.411	0.687
0.800	0.825	0.401	0.424	0.716
0.768	0.789	0.385	0.404	0.682
0.793	0.783	0.382	0.401	0.670
0.811	0.762	0.374	0.388	0.692
0.759	0.776	0.381	0.395	0.704
0.819	0.776	0.392	0.383	0.697
0.806	0.796	0.401	0.395	0.740
0.833	0.800	0.395	0.404	0.734
0.811	0.763	0.385	0.378	0.684
0.793	0.754	0.379	0.375	0.693
0.785	0.759	0.383	0.376	0.694
0.812	0.756	0.380	0.376	0.696
